age,job,marital,education,balance,housing,loan,contact,duration,campaign,deposit
59,admin.,married,secondary,2343,yes,no,unknown,1042,1,yes
56,admin.,married,secondary,45,no,no,unknown,1467,1,yes
41,technician,married,secondary,1270,yes,no,unknown,1389,1,yes
55,services,married,secondary,2476,yes,no,unknown,579,1,yes
54,admin.,married,tertiary,184,no,no,unknown,673,2,yes
42,management,single,tertiary,0,yes,yes,unknown,562,2,yes
56,management,married,tertiary,830,yes,yes,unknown,1201,1,yes
60,retired,divorced,secondary,545,yes,no,unknown,1030,1,yes
37,technician,married,secondary,1,yes,no,unknown,608,1,yes
28,services,single,secondary,5090,yes,no,unknown,1297,3,yes
38,admin.,single,secondary,100,yes,no,unknown,786,1,yes
30,blue-collar,married,secondary,309,yes,no,unknown,1574,2,yes
29,management,married,tertiary,199,yes,yes,unknown,1689,4,yes
46,blue-collar,single,tertiary,460,yes,no,unknown,1102,2,yes
31,technician,single,tertiary,703,yes,no,unknown,943,2,yes
35,management,divorced,tertiary,3837,yes,no,unknown,1084,1,yes
32,blue-collar,single,primary,611,yes,no,unknown,541,3,yes
49,services,married,secondary,-8,yes,no,unknown,1119,1,yes
41,admin.,married,secondary,55,yes,no,unknown,1120,2,yes
49,admin.,divorced,secondary,168,yes,yes,unknown,513,1,yes
28,admin.,divorced,secondary,785,yes,no,unknown,442,2,yes
43,management,single,tertiary,2067,yes,no,unknown,756,1,yes
43,management,divorced,tertiary,388,yes,no,unknown,2087,2,yes
43,blue-collar,married,primary,-192,yes,no,unknown,1120,2,yes
37,unemployed,single,secondary,381,yes,no,unknown,985,2,yes
35,blue-collar,single,secondary,40,yes,no,unknown,617,4,yes
31,technician,single,tertiary,22,yes,no,unknown,483,3,yes
43,blue-collar,single,secondary,3,yes,no,unknown,929,3,yes
31,admin.,married,secondary,307,yes,no,unknown,538,1,yes
28,blue-collar,single,secondary,759,yes,no,unknown,710,1,yes
32,blue-collar,married,secondary,-1,yes,no,unknown,653,1,yes
60,technician,married,primary,65,yes,no,unknown,1028,2,yes
26,blue-collar,single,secondary,82,yes,no,unknown,654,1,yes
40,blue-collar,married,secondary,10,yes,no,unknown,1692,2,yes
33,blue-collar,divorced,primary,390,yes,no,unknown,665,2,yes
32,management,single,tertiary,311,no,no,unknown,757,2,yes
35,blue-collar,married,primary,414,no,no,unknown,504,4,yes
33,management,divorced,secondary,5,yes,no,unknown,1346,1,yes
38,management,married,tertiary,119,yes,no,unknown,568,4,yes
23,entrepreneur,single,primary,4,yes,no,unknown,395,2,yes
60,blue-collar,married,primary,1262,yes,yes,unknown,1015,1,yes
48,management,married,tertiary,1949,yes,no,unknown,683,2,yes
45,entrepreneur,divorced,tertiary,-395,yes,no,unknown,470,1,yes
36,blue-collar,married,secondary,1165,yes,no,unknown,1001,4,yes
52,management,married,unknown,2240,yes,no,unknown,845,1,yes
35,blue-collar,divorced,primary,300,yes,no,unknown,945,2,yes
43,technician,married,secondary,3285,yes,no,unknown,1721,2,yes
52,housemaid,married,secondary,3923,yes,no,unknown,942,3,yes
53,technician,divorced,primary,1443,yes,no,unknown,476,1,yes
48,blue-collar,divorced,primary,24,yes,no,unknown,832,1,yes
41,blue-collar,single,primary,1618,yes,no,unknown,1553,1,yes
39,management,divorced,tertiary,517,yes,yes,unknown,1328,1,yes
59,retired,married,secondary,1521,yes,yes,unknown,1125,2,yes
41,blue-collar,married,secondary,2823,yes,no,unknown,858,1,yes
48,blue-collar,married,secondary,1405,yes,no,unknown,629,2,yes
40,admin.,married,secondary,1535,yes,no,unknown,704,1,yes
48,blue-collar,married,secondary,1596,yes,no,unknown,760,1,yes
60,retired,married,primary,1542,yes,no,unknown,930,1,yes
40,technician,single,unknown,3652,yes,no,unknown,1028,2,yes
57,technician,married,tertiary,-1,no,no,unknown,850,2,yes
51,blue-collar,married,secondary,7180,yes,no,unknown,927,1,yes
41,blue-collar,divorced,secondary,5291,yes,no,unknown,1423,3,yes
41,blue-collar,married,secondary,1384,yes,no,unknown,1162,4,yes
52,blue-collar,divorced,primary,-191,yes,no,unknown,755,1,yes
59,blue-collar,married,primary,320,yes,no,unknown,695,1,yes
44,blue-collar,married,unknown,146,yes,no,unknown,483,1,yes
49,unknown,married,primary,341,yes,yes,unknown,520,2,yes
40,services,married,primary,-9,yes,no,unknown,920,2,yes
41,admin.,married,primary,-306,yes,no,unknown,500,1,yes
44,technician,married,tertiary,4580,yes,no,unknown,911,2,yes
60,services,single,primary,313,yes,no,unknown,920,2,yes
29,management,married,tertiary,10576,no,no,unknown,1224,2,yes
41,retired,divorced,primary,-233,yes,no,unknown,1156,2,yes
41,blue-collar,married,primary,2453,yes,no,unknown,1052,1,yes
42,technician,single,secondary,1364,yes,no,unknown,1867,6,yes
36,services,single,unknown,281,yes,no,unknown,515,1,yes
39,technician,married,tertiary,94,yes,yes,unknown,813,1,yes
31,self-employed,single,tertiary,144,yes,no,unknown,676,1,yes
26,blue-collar,married,secondary,246,yes,no,unknown,1143,3,yes
31,blue-collar,married,secondary,92,yes,no,unknown,688,1,yes
29,admin.,single,secondary,163,yes,yes,unknown,803,1,yes
37,services,divorced,secondary,49,yes,no,unknown,619,2,yes
33,blue-collar,single,secondary,-416,yes,no,unknown,767,2,yes
24,technician,single,secondary,409,yes,no,unknown,912,1,yes
50,admin.,divorced,secondary,363,yes,no,unknown,1340,1,yes
27,technician,single,tertiary,3706,yes,no,unknown,897,1,yes
54,management,single,tertiary,4393,yes,no,unknown,1297,3,yes
30,technician,single,secondary,863,yes,no,unknown,1193,5,yes
34,blue-collar,married,primary,695,yes,yes,unknown,1064,4,yes
37,management,single,secondary,792,yes,no,unknown,1187,4,yes
41,admin.,single,secondary,1020,yes,no,unknown,882,1,yes
47,blue-collar,married,secondary,863,yes,no,unknown,943,2,yes
31,admin.,married,secondary,97,yes,no,unknown,607,1,yes
31,blue-collar,married,secondary,754,yes,no,unknown,1022,4,yes
43,services,divorced,secondary,1040,yes,no,unknown,552,3,yes
37,management,divorced,tertiary,122,yes,no,unknown,1622,2,yes
30,technician,single,tertiary,880,yes,yes,unknown,967,6,yes
41,technician,married,secondary,501,yes,no,unknown,579,5,yes
36,blue-collar,married,secondary,4438,yes,no,unknown,446,1,yes
35,blue-collar,divorced,secondary,0,yes,no,unknown,1205,1,yes
29,services,single,secondary,271,yes,no,unknown,1882,2,yes
35,blue-collar,married,primary,102,yes,no,unknown,1334,1,yes
31,blue-collar,married,secondary,2,yes,no,unknown,182,2,yes
35,services,married,secondary,4170,yes,no,unknown,1777,1,yes
34,technician,single,secondary,85,yes,no,unknown,1182,4,yes
31,admin.,single,secondary,431,yes,yes,unknown,1045,1,yes
44,technician,divorced,secondary,982,yes,no,unknown,650,3,yes
36,blue-collar,married,primary,408,yes,yes,unknown,1063,2,yes
35,blue-collar,married,unknown,4822,yes,no,unknown,843,2,yes
41,blue-collar,married,primary,1250,yes,no,unknown,1392,2,yes
31,blue-collar,single,primary,216,yes,no,unknown,565,1,yes
34,blue-collar,married,secondary,1207,yes,no,unknown,905,1,yes
